id,slug,name,display_order,definition,accountability_cue,applicability_mode,applicability_when,sensitivity_level,sensitivity_note,examples,review_triggers,related_categories
osbrt.governance_ownership,governance-ownership,Governance & ownership,10,"Records that establish the business entity, ownership, formal authority, governance structure, or major company decisions.","The owners, directors, officers, or people responsible for the company's legal identity and formal authority would need this to be correct.",conditional,"Use for entity formation, ownership, formal authority, governance actions, and durable company-level decisions that are not better owned by a specific operating function.",highly_sensitive,"These records can expose ownership, signatures, authority, identity, corporate structure, financing authority, or other consequential company information.",articles or certificate of incorporation | shareholder or ownership register | director or officer register | bylaws or governing rules | board or shareholder resolution | signing-authority record | major ownership-change record,"incorporation or restructuring | ownership change | director or officer change | authority or signing change | new, amended, or revoked governance document | major company decision requiring formal record",osbrt.finance_accounting_tax | osbrt.people_workforce | osbrt.strategy_planning | osbrt.compliance_licences_safety
osbrt.finance_accounting_tax,finance-accounting-tax,"Finance, accounting & tax",20,"Accounting books, transaction evidence, banking, receivables and payables, expenses, reconciliations, financial reporting, tax, and financial-remittance records.","The person responsible for the books, cash, reporting, tax, or transaction evidence would need this to be correct.",conditional,"Use when the record's primary purpose is to evidence, record, reconcile, report, pay, collect, remit, or support a financial or tax transaction or obligation.",highly_sensitive,"Financial and tax records can expose account details, prices, margins, payroll information, tax identifiers, transactions, balances, and other high-impact business data.",sales invoice | purchase invoice | receipt | bank statement | general ledger export | reconciliation | expense record | accounts receivable or payable report | tax return or filing support | payroll remittance record,month or year close | transaction corrected or reversed | bank or account change | tax filing or assessment | reconciliation exception | payment or collection issue | retention requirement reached under the applicable authority,osbrt.customers_revenue | osbrt.vendors_procurement | osbrt.people_workforce | osbrt.assets_facilities | osbrt.inventory_supplies | osbrt.governance_ownership
osbrt.customers_revenue,customers-revenue,Customers & revenue,30,"Records that define, develop, manage, or document customer relationships, commercial opportunities, sales commitments, and ongoing customer accounts.","The person responsible for the customer relationship, sale, commercial commitment, or account would need this to be correct.",conditional,Use for customer and sales records whose main purpose is the commercial relationship rather than financial transaction evidence or execution of a specific job.,often_sensitive,"Customer records may contain personal information, pricing, commercial terms, correspondence, service history, or confidential customer information.",lead or opportunity record | proposal | quote | customer master agreement | customer correspondence | pricing or commercial terms | account note | renewal or recurring-service record,"new lead or customer | proposal or quote revision | agreement signed, amended, renewed, or ended | customer ownership or contact change | pricing or service change | account escalation or closure",osbrt.finance_accounting_tax | osbrt.projects_jobs_delivery | osbrt.marketing_brand | osbrt.knowledge_continuity
osbrt.vendors_procurement,vendors-procurement,Vendors & procurement,40,"Records used to source, evaluate, select, order from, manage, and communicate with suppliers and service providers.","The person responsible for the supplier relationship, purchase decision, order, or procurement process would need this to be correct.",conditional,"Use for supplier and procurement records whose main purpose is selecting, ordering from, or managing a vendor rather than recording the resulting financial transaction or managing a technology system.",often_sensitive,"Vendor records may contain pricing, negotiated terms, contact information, account references, banking or payment details, and commercially sensitive correspondence.",supplier profile | supplier quote | purchase order | supplier agreement | price list | procurement comparison | credit or return authorization | receiving exception | vendor correspondence,new or terminated supplier | price or term change | purchase order issued or changed | supplier agreement renewed or amended | delivery or quality issue | vendor ownership or contact change,osbrt.finance_accounting_tax | osbrt.inventory_supplies | osbrt.assets_facilities | osbrt.technology_access_data | osbrt.projects_jobs_delivery
osbrt.people_workforce,people-workforce,People & workforce,50,"Employment, contractor, role, compensation-administration, time, training, performance, and other workforce records about people working for or with the business.","The person responsible for the worker relationship, role, employment administration, or workforce obligation would need this to be correct.",conditional,"Use for records whose primary purpose is the working relationship or workforce administration. Payroll journals and remittance evidence remain Finance, accounting & tax when their main purpose is financial reporting or remittance.",highly_sensitive,"Workforce records commonly contain identity, compensation, tax, banking, performance, health, schedule, disciplinary, or other sensitive personal information.",employment agreement | contractor agreement | role description | employee or contractor profile | timesheet or attendance record | training record | performance record | benefit-enrolment administration | leave or accommodation administration,hire or contract start | role or compensation change | training or credential change | leave or accommodation change | performance or disciplinary event | worker departure | policy or benefit administration change,osbrt.finance_accounting_tax | osbrt.projects_jobs_delivery | osbrt.compliance_licences_safety | osbrt.technology_access_data | osbrt.knowledge_continuity
osbrt.projects_jobs_delivery,projects-jobs-delivery,"Projects, jobs & delivery",60,"Records that define, execute, change, approve, evidence, complete, or hand off specific customer work, projects, jobs, engagements, or deliverables.",The person accountable for delivering the specific piece of work would need this to be correct.,conditional,"Use when the record's primary purpose is execution or delivery of a defined job, project, engagement, or deliverable rather than the general customer relationship or a recurring company procedure.",often_sensitive,"Delivery records may contain customer information, locations, specifications, pricing, approvals, photos, schedules, or confidential project material.",work order | statement of work | project scope | delivery plan | change order | field record | customer approval | project photo | completion record | handoff package,project or job opened | scope or schedule change | change order | milestone or approval | delivery issue | completion or cancellation | handoff or warranty transition,osbrt.customers_revenue | osbrt.finance_accounting_tax | osbrt.people_workforce | osbrt.assets_facilities | osbrt.knowledge_continuity
osbrt.operations_procedures,operations-procedures,Operations & procedures,70,"Recurring operating procedures, checklists, schedules, instructions, quality methods, and routine process records used to run the business consistently.",The person responsible for how a recurring business process is performed would need this to be correct.,conditional,"Use for repeatable operating methods and process controls. Classify meeting notes, plans, and checklists by their actual subject when they belong more naturally to a customer, project, workforce, safety, technology, or strategy context.",context_dependent,"Some operating material is routine; other procedures can expose security, internal controls, customer handling, facility practices, or proprietary methods.",standard operating procedure | recurring checklist | operating schedule | work instruction | quality procedure | routine inspection checklist | process-control record | operations playbook,process change | quality issue | new equipment or system | policy or control change | recurring failure | scheduled procedure review | ownership change,osbrt.projects_jobs_delivery | osbrt.people_workforce | osbrt.compliance_licences_safety | osbrt.technology_access_data | osbrt.knowledge_continuity
osbrt.assets_facilities,assets-facilities,Assets & facilities,80,"Records that identify, assign, operate, service, inspect, repair, warrant, or manage physical assets, equipment, vehicles, tools, premises, and facilities.","The person responsible for the asset, equipment, vehicle, premises, or facility would need this to be correct.",conditional,"Use when the record's main ongoing purpose is asset identity, custody, condition, operation, maintenance, warranty, inspection, or facility management. Purchase invoices remain Finance when their primary purpose is transaction evidence.",often_sensitive,"Asset and facility records can expose locations, serial numbers, access details, maintenance weaknesses, ownership, values, or security-related information.",asset register | vehicle or equipment record | manual | warranty | maintenance record | repair history | inspection record | asset assignment | facility record | premises lease or occupancy record,"purchase or disposal | assignment change | maintenance or repair | inspection | warranty change or expiry | facility move or lease change | loss, damage, or incident",osbrt.finance_accounting_tax | osbrt.vendors_procurement | osbrt.projects_jobs_delivery | osbrt.insurance_risk_incidents | osbrt.compliance_licences_safety
osbrt.inventory_supplies,inventory-supplies,Inventory & supplies,90,"Records used to identify, count, receive, store, issue, consume, reorder, adjust, or trace inventory, stock, materials, and recurring supplies.","The person responsible for stock availability, movement, count accuracy, or material control would need this to be correct.",conditional,"Use for inventory and supply control. Purchase invoices remain Finance, and supplier-selection records remain Vendors & procurement even when they relate to stocked items.",context_dependent,"Inventory records range from routine stock counts to commercially sensitive cost, quantity, location, shrinkage, or controlled-material information.",SKU or item master | stock count | receiving record | reorder record | inventory movement | usage record | inventory adjustment | bin or location record | material issue record,receipt or shipment | count or cycle count | reorder threshold | inventory adjustment | loss or damage | new or discontinued item | location or stocking-method change,osbrt.vendors_procurement | osbrt.finance_accounting_tax | osbrt.projects_jobs_delivery | osbrt.assets_facilities
osbrt.insurance_risk_incidents,insurance-risk-incidents,"Insurance, risk & incidents",100,"Insurance policies and certificates, claims, risk assessments, incident records, damage evidence, loss events, and other records primarily used to understand or manage business risk.","The person responsible for insurance, risk response, claims, loss prevention, or incident handling would need this to be correct.",conditional,"Use for insurance, claims, risk, and incident records. If the record exists primarily to satisfy a licence, statutory inspection, regulated safety program, or formal compliance obligation, Compliance, licences & safety may be primary instead.",highly_sensitive,"Risk and incident records may contain personal information, allegations, injuries, damage, security details, insurer information, financial exposure, or legally consequential facts.",insurance policy | certificate of insurance | claim record | incident report | damage photo | risk assessment | loss record | risk register | insurer correspondence,policy renewal or change | new claim or incident | damage or loss | risk assessment update | insurer request | claim closure | control or exposure change,osbrt.assets_facilities | osbrt.compliance_licences_safety | osbrt.people_workforce | osbrt.finance_accounting_tax | osbrt.projects_jobs_delivery
