id,slug,name,display_order,definition,applicability_mode,applicability_when,sensitivity_level,sensitivity_note,examples,review_triggers,related_categories
ohrt.identity_civil_status,identity-civil-status,Identity & civil status,10,Records that establish identity or significant personal-status facts.,conditional,Use for identity and civil-status records that actually apply to members of the household.,highly_sensitive,"Identity documents can expose information that enables impersonation, account recovery, or other misuse if handled poorly.",passport | birth certificate | citizenship or immigration document | marriage or divorce record | name-change record,"document expiry or renewal | name or civil-status change | document loss, theft, replacement, or cancellation | citizenship or immigration status change",ohrt.legal_estate | ohrt.travel | ohrt.emergency_continuity
ohrt.home_property,home-property,Home & property,20,"Records connected to owning, renting, inspecting, improving, repairing, or managing a home or other property.",conditional,"Use when the household owns, rents, occupies, improves, or is otherwise responsible for a property.",often_sensitive,"Property records can reveal addresses, ownership, financing, access, condition, or security-related details.",purchase document | lease | property assessment | inspection report | renovation record | permit | major property service history,"move, purchase, sale, or new lease | renovation or permitted work | inspection or assessment | major repair or property-system replacement | ownership or occupancy change",ohrt.insurance | ohrt.tax | ohrt.legal_estate | ohrt.financial | ohrt.household_assets_receipts_warranties | ohrt.household_services_utilities
ohrt.insurance,insurance,Insurance,30,"Policies, renewals, coverage information, claims, proof of insurance, and insurer correspondence across household insurance needs.",conditional,"Use for insurance products and claims that apply to the household, its people, property, vehicles, travel, or other insured interests.",often_sensitive,"Insurance records may contain identifying, financial, health, property, beneficiary, claim, or account information.",home or tenant policy | vehicle policy | life policy | health or supplemental policy | travel policy | pet insurance policy | claim record | proof of insurance | renewal notice,"policy renewal | coverage or deductible change | new or closed policy | claim opened or resolved | provider change | major household, property, vehicle, health, or travel change",ohrt.home_property | ohrt.vehicles_transportation | ohrt.health_care | ohrt.travel | ohrt.financial | ohrt.pets
ohrt.tax,tax,Tax,40,"Returns, assessments, slips, receipts, and supporting records retained or used for tax purposes.",conditional,"Use for records whose primary household purpose is tax filing, support, assessment, payment, or correspondence.",highly_sensitive,"Tax records commonly combine identity, income, account, address, dependant, and other sensitive personal information.",tax return | notice of assessment or reassessment | income slip | deduction or credit support | tax payment record | tax correspondence,new tax year | return filed or amended | assessment or reassessment | supporting record corrected | tax dispute or review | retention requirement reached under the applicable authority,ohrt.financial | ohrt.employment_income | ohrt.home_property | ohrt.legal_estate
ohrt.legal_estate,legal-estate,Legal & estate,50,"Legal instruments, court records, estate documents, representation documents, consent documents, and other records whose primary purpose is personal legal authority, status, representation, or estate matters rather than another household domain.",conditional,Use only for legal or estate records that actually apply to the people and circumstances in the household.,highly_sensitive,"These records may affect legal authority, beneficiaries, dependants, property, finances, care, or other consequential rights and responsibilities.",will | power of attorney | personal directive or representation document | court order | estate document | guardianship or custody order | consent document | separation agreement,"new, amended, revoked, or replaced instrument | marriage, separation, birth, death, or dependant change | representative, executor, guardian, or beneficiary change | material property or financial change | move to a different legal jurisdiction",ohrt.identity_civil_status | ohrt.financial | ohrt.home_property | ohrt.emergency_continuity | ohrt.education_children | ohrt.travel
ohrt.emergency_continuity,emergency-continuity,Emergency & continuity,60,"Plans, contacts, accessible reference information, care instructions, and other material intended to help appropriate people act when normal household routines are disrupted.",conditional,"Use for information deliberately prepared for emergency response, temporary incapacity, absence, or household continuity.",often_sensitive,"Emergency material may combine contact, health, identity, location, dependant, pet, access, or account-reference information and should expose only what is useful for the intended purpose.",emergency plan | emergency contact list | care instruction | evacuation information | important-document location guide | accessible reference copy,"move or address change | emergency contact change | health, medication, or care change | new or changed dependant | pet-care change | insurance or emergency-plan change | change in who is expected to help",ohrt.identity_civil_status | ohrt.health_care | ohrt.insurance | ohrt.legal_estate | ohrt.education_children | ohrt.pets
ohrt.financial,financial,Financial,70,"Banking, general borrowing, investments, financing, statements, and other household financial records that do not belong more naturally under a more specific family.",conditional,"Use for financial accounts, obligations, assets, and transactions relevant to the household.",highly_sensitive,"Financial records can contain account identifiers, balances, transactions, borrowing information, personal identifiers, and other high-impact information.",bank statement | personal loan agreement | line of credit statement | investment statement | account summary | payment schedule,account opened or closed | loan or financing change | major payment or payoff | institution change | material investment or pension change | major household financial event,ohrt.tax | ohrt.home_property | ohrt.legal_estate | ohrt.employment_income | ohrt.insurance
ohrt.vehicles_transportation,vehicles-transportation,Vehicles & transportation,80,"Registration, purchase, financing, inspection, maintenance, service, and other records tied to vehicles or recurring transportation assets.",conditional,"Use when the household owns, finances, leases, maintains, or is otherwise responsible for a vehicle or recurring transportation asset.",often_sensitive,"Vehicle records may contain registration, ownership, financing, address, location, identifier, or insurance information.",vehicle registration | purchase record | financing record | inspection report | service invoice | maintenance history | tire or major-component record,"purchase, lease, sale, or disposal | registration or inspection renewal | service or major repair | accident or claim | financing change or payoff | major component or ownership change",ohrt.insurance | ohrt.household_assets_receipts_warranties | ohrt.financial
ohrt.health_care,health-care,Health & care,90,"Records used to understand, document, or coordinate health, medication, treatment, providers, and care.",conditional,Use for health and care information that the household legitimately maintains or needs to coordinate.,highly_sensitive,Health and care information is deeply personal and may be subject to additional legal or professional handling requirements depending on context and jurisdiction.,medication list | vaccination record | care plan or instruction | treatment or test summary | dental record | vision record | provider information | medical equipment information,medication change | diagnosis or treatment change | provider or care-team change | new health or care record | vaccination update | care arrangement or medical-equipment change,ohrt.insurance | ohrt.emergency_continuity
ohrt.household_assets_receipts_warranties,household-assets-receipts-warranties,"Household assets, receipts & warranties",100,"Purchase, ownership, warranty, manual, serial-number, repair, and supporting evidence connected to significant household belongings and equipment.",conditional,"Use for belongings or equipment where purchase, ownership, operation, service, warranty, or replacement information is worth retaining.",context_dependent,"Many asset records are low-risk, but ownership evidence, serial numbers, addresses, purchase values, account details, or security-related equipment can increase sensitivity.",purchase receipt | warranty | owner manual | serial-number photo | product registration | repair record | ownership photograph | replacement record,"new purchase | warranty registration or expiry | repair or replacement | sale, donation, loss, or disposal | serial number or ownership evidence captured | insurance claim or inventory update",ohrt.home_property | ohrt.vehicles_transportation | ohrt.insurance | ohrt.household_services_utilities
